Donavon Frankenreiter	Stay Young	Gallagher and Lyle cover
The Rubens	Friday On My Mind	The Easybeats cover
You Am I	Super Rich Kids	Frank Ocean cover
Little Green Cars	To The Last	James Blake cover
Of Monsters and Men	Skeletons	Yeah Yeah Yeahs cover
Hungry Kids of Hungary	Feels Like We Only Go Backwards	Tame Impala cover
San Cisco	Get Lucky	Daft Punk cover
HAIM	Strong Enough	Sheryl Crow cover
Something For Kate	Sweet Nothing	Calvin Harris ft. Florence Welch cover
Bluejuice	End Of The Road	Boyz II Men cover
Ball Park Music	Diane Young	Vampire Weekend cover
Ásgeir	Stolen Dance	Milky Chance cover
Arctic Monkeys	Feels Like We Only Go Backwards	Tame Impala cover
Allday	Never Tear Us Apart	INXS cover
Chet Faker	(Lover) You Dont Treat Me No Good	Sonia Dada cover
CHVRCHES	Do I Wanna Know?	Arctic Monkeys cover
Client Liaison	! (The Song Formerly Known As)	Regurgitator cover
Client Liaison	Party	Christine Anu cover
Dead Letter Circus	Killing In The Name	Rage Against The Machine cover
Daniel Lee Kendall	Rock with You	Michael Jackson cover
Dustin Tebbutt	Young Folks	Peter Bjorn and John cover
First Aid Kit	Love Interruption	Jack White cover
Calling All Cars	Psycho Killer	Talking Heads cover
Cloud Control	Dammit	blink-182 cover
Dan Sultan	Southern Sun	Boy & Bear cover
The Delta Riggs	Gooey	Glass Animals cover
Briggs & Gurrumul	The Children Came Back	Archie Roach cover
Jackie Onassis	Drunk in Love	Beyoncé ft. Jay-Z cover
James Vincent McMorrow	West Coast	Lana Del Rey cover
Holy Holy	Love Will Tear Us Apart	Joy Division cover
John Butler Trio	Happy	Pharrell Williams cover
Grouplove	Spiderhead	Cage The Elephant cover
Highasakite	Heavenly Father	Bon Iver cover
The Kite String Tangle	Clair de Lune	Flight Facilities cover
Glass Animals	Love Lockdown	Kanye West cover
Jagwar Ma	Whyd You Only Call Me When Youre High?	Arctic Monkeys cover
The Jezabels	Dont Stop Believing	Journey cover
The Griswolds	Riptide	Vance Joy cover
Kim Churchill	Just For You	Sticky Fingers cover
Kasabian	Can You Tell Me How to Get to Sesame Street?	Sesame Street
Kasabian	Good Vibrations	Beach Boys cover
L-FRESH The LION	The Fresh Prince of Bel-Air Beware Of The Boys (Mundian To Bach Ke)	DJ Jazzy Jeff & The Fresh Prince cover
L-FRESH The LION	The Fresh Prince of Bel-Air Beware Of The Boys (Mundian To Bach Ke)	Panjabi MC cover
Karnivool	Hey Now	London Grammar cover
Little Dragon	Millionaire	Kelis ft. André 3000 cover
Lisa Mitchell	Zombie	Jamie T cover
Meg Mac	Bridges	BROODS cover
Lurch & Chief	Drop the Game	Flume & Chet Faker cover
Peking Duk	Cant Get You Out Of My Head	Kylie Minogue cover
Northeast Party House	Covered In Chrome	Violent Soho cover
RÜFÜS DU SOL	My Number	Foals
RÜFÜS DU SOL	Charlotte	Booka Shade cover
Saskwatch	Let Her Go	Jagwar Ma cover
Seekae	Picture Me Gone	Ariel Pink cover
Thelma Plum	Gold	Chet Faker cover
Montaigne	Chandelier	Sia cover
Lorde	Retrograde	James Blake cover
SKATERS	Judy Is A Punk	Ramones cover
The Smith Street Band	History Eraser	Courtney Barnett cover
The Holidays	Is This How You Feel?/Sexual Healing	The Preatures/Marvin Gaye cover
Alpine	Cigarettes Will Kill You	Ben Lee cover
Airling	U Got It Bad	Usher cover
Art of Sleeping	Hotline Bling	Drake cover
Catfish and the Bottlemen	Read My Mind	The Killers cover
Boo Seeka	Pilgrim	MØ cover
Ayla	Throw Your Arms Around Me	Hunters & Collectors cover
Carmada	Lean On	Major Lazer ft. MØ & DJ Snake cover
Bad//Dreems	Cant Feel My Face	The Weeknd cover
Art vs Science	Enter Sandman	Metallica cover
Everything Everything	With Every Heartbeat	Robyn cover
DZ Deathrays	Addicted To Bass	Josh Abrahams & Amiel Daemion cover
Foals	Daffodils	Mark Ronson ft. Kevin Parker cover
Claptone	How Deep Is Your Love	The Rapture cover
Clowns	Alone with You	Sunnyboys cover
Harts	Aerial Love	Daniel Johns cover
Hiatus Kaiyote	DARE	Gorillaz cover
In Hearts Wake	Vice Grip	Parkway Drive cover
I Know Leopard	Waterfalls	TLC cover
Grenadiers	Vitriol	Bluejuice cover
Jesse Davidson	Sober	Childish Gambino cover
Jebediah	Go	The Chemical Brothers cover
Kilter	Ice Cream	Muscles cover
Little May	Great Southern Land	Icehouse cover
Jarryd James	Say It Aint So	Weezer cover
One Day	Not Many	Scribe cover
Ngaiire	The Less I Know The Better	Tame Impala cover
Oscar Key Sung	Loud Places	Jamie xx ft. Romy cover
Royal Blood	Hang Me Up to Dry	Cold War Kids cover
Philly	Three Little Birds	Bob Marley & The Wailers cover
Mark Ronson	I Sat by the Ocean	Queens of the Stone Age cover
Milky Chance	Shake It Off	Taylor Swift cover
Tired Lion	Saramona Said/1979	Violent Soho/The Smashing Pumpkins cover
The Bennies	(Hell Never Be An) Ol Man River	TISM cover
The Belligerents	Praise You	Fatboy Slim cover
Tame Impala	Confide in Me	Kylie Minogue cover
Tuka	Big Jet Plane	Angus & Julia Stone cover
Sticky Fingers	Delete	DMAS cover
SAFIA	Left Hand Free	alt-J cover
Vance Joy	Fake Plastic Trees	Radiohead cover
Gang of Youths	All My Friends	LCD Soundsystem cover
Asta	I Wanna Dance with Somebody (Who Loves Me)	Whitney Houston cover
Mansionair	Seasons (Waiting on You)	Future Islands cover
Dorsal Fins	Pash	Kate Ceberano cover
Childish Gambino	So Into You	Tamia cover
Urthboy	Roll Up Your Sleeves	Meg Mac cover
The Jungle Giants	Lights & Music	Cut Copy cover
The Wombats	Do You Remember	Jarryd James cover
E^ST	Bitter Sweet Symphony	The Verve cover
#1 Dads	Two Weeks	FKA twigs cover
BADBADNOTGOOD & Jonti	God Only Knows	The Beach Boys cover
Flume	My Boo	Ghost Town DJs cover
A.B. Original	Dumb Things	Paul Kelly cover
Elk Road	Crave You/The Less I Know The Better	Flight Facilities/Tame Impala cover
Amy Shark	Miss You Love	Silverchair cover
The Jezabels	If You Go	Sticky Fingers cover
DMAS	Believe	Cher cover
Violent Soho	Lazy Eye	Silversun Pickups cover
Emma Louise	Into My Arms	Nick Cave & The Bad Seeds cover
PUP	You Dont Get Me High Anymore	Phantogram cover
Hockey Dad	Malibu	Hole cover
Camp Cope	Maps	Yeah Yeah Yeahs cover
Matt Corby	Chains	Tina Arena cover
Ta-ku & Wafia	Leave (Get Out)	JoJo cover
Drapht	Frankie Sinatra	The Avalanches cover
Just A Gent	Day n Night	Kid Cudi cover
Grouplove	Bullshit	Dune Rats cover
Cub Sport	Ultralight Beam	Kanye West cover
Jake Bugg	If I Could Change Your Mind	HAIM cover
Jack Garratt	Crazy in Love	Beyoncé ft. Jay-Z cover
BROODS	One Dance	Drake ft. Wizkid & Kyla cover
Robbie Miller	Say My Name	ODESZA ft. Zyra cover
Hey Geronimo	Pedestrian At Best/Happiness (Rotting My Brain)	Courtney Barnett/Regurgitator cover
Hands Like Houses	Dont Speak	No Doubt cover
Olympia	Dreams	Beck cover
Luca Brasi	How To Make Gravy	Paul Kelly cover
Yeo	Forces	Japanese Wallpaper ft. Airling cover
The Cat Empire	Get Some	Lykke Li cover
Paces	Keeping Score	L D R U ft. Paige IV cover
Anne-Marie	Listen to Soul, Listen to Blues	SAFIA cover
The Temper Trap	Multi-Love	Unknown Mortal Orchestra cover
MS MR	Genghis Khan	Miike Snow cover
The Murlocs	Every 1s a Winner	Hot Chocolate cover
Modern Baseball	Dope Calypso	Violent Soho cover
Ali Barter	Cause Im A Man	Tame Impala cover
City Calm Down	Spanish Sahara	Foals cover
Dylan Joel	Youve Got a Friend in Me	Randy Newman cover
Vera Blue	Breathe Life	Jack Garratt cover
Bootleg Rascal	The Hills	The Weeknd cover
Methyl Ethel	Cry Me a River	Justin Timberlake cover
Citizen Kay	Brick House/Uptown Funk	Commodores/Mark Ronson cover
Raury	L$D	A$AP Rocky cover
The Internet	Tape You	N.E.R.D cover
The Rubens	King Kunta/Hello	Kendrick Lamar/Adele cover
Boy & Bear	Back To Black	Amy Winehouse cover
Sarah Blasko	Life On Mars?	David Bowie cover
George Maple	We Found Love	Rihanna ft. Calvin Harris cover
Charli XCX	Dont Delete The Kisses	Wolf Alice cover
Gordi	In the End	Linkin Park cover
Thundamentals	Ivy	Frank Ocean cover
Timberwolf	Talk Is Cheap	Chet Faker cover
Tired Lion	Death To The Lads	The Smith Street Band cover
Ball Park Music	My Happiness	Powderfinger cover
Meg Mac	Let It Happen	Tame Impala cover
The Preatures	Everything Now	Arcade Fire cover
6LACK	On & On	Erykah Badu cover
The Creases	You Get What You Give	New Radicals cover
Cloud Control	Dreams	The Cranberries cover
Gang of Youths	Blood	The Middle East cover
Sløtface	Supercut	Lorde cover
Alex the Astronaut	If I Could Start Today Again	Paul Kelly cover
Trophy Eyes	Every Breath You Take	The Police cover
Winston Surfshirt	21 Questions	50 Cent ft. Nate Dogg cover
Kim Churchill	Make It wit Chu	Queens of the Stone Age cover
Maggie Rogers	Say Something Loving	The xx cover
HAIM	That Dont Impress Me Much	Shania Twain cover
Bishop Briggs	Monday	Matt Corby cover
Kingswood	Say My Name	Destinys Child cover
Birdz	Djäpana (Sunset Dreaming)	Yothu Yindi cover
Holy Holy	Hold Up	Beyoncé cover
Vallis Alps	New Slang	The Shins cover
M-Phazes ft. Ruel	Weathered	Jack Garratt cover
sleepmakeswaves	Children	Robert Miles cover
Middle Kids	Dont Dream Its Over	Crowded House cover
Horrorshow	No Aphrodisiac	The Whitlams cover
Alex Lahey	Torn	Natalie Imbruglia cover
Milky Chance	Im Like A Bird	Nelly Furtado cover
Paul Dempsey	Edge Of Town	Middle Kids cover
SLUMBERJACK	Paper Planes	M.I.A. cover
Ásgeir	Love$ick	Mura Masa ft. A$AP Rocky cover
REMI	Thong Song	Sisqó cover
Northeast Party House	Redbone	Childish Gambino cover
Big Scary	Come As You Are	Nirvana cover
Kasabian	Insane in the Brain	Cypress Hill cover
Hellions	Adore	Amy Shark cover
Polish Club	Never Be Like You	Flume ft. Kai cover
Margaret Glaspy	Let Me Love You	DJ Snake ft. Justin Bieber cover
SOFI TUKKER	Alaska	Maggie Rogers cover
Bec Sandridge	Youre The Voice	John Farnham cover
Tash Sultana	Electric Feel	MGMT cover
Glass Animals	Crazy	Gnarls Barkley cover
AURORA	Teardrop	Massive Attack cover
Julia Jacklin	Someday	The Strokes cover
Phantogram	Weird Fishes/Arpeggi	Radiohead cover
The Wombats	White Christmas	Bing Crosby cover
Kwame	Alright	Kendrick Lamar cover
Vance Joy	Elastic Heart	Sia cover
Glades	Straight Lines	Silverchair cover
The Presets	Power And The Passion	Midnight Oil cover
The Herd ft. OKENYO	Bodies	Wafia cover
Amy Shark	Be Alright	Dean Lewis cover
Dean Lewis	Mended	Vera Blue cover
San Cisco	4EVER	Clairo cover
Loyle Carner	Gimme The Mic	George Benson cover
King Princess	Fell In Love With a Girl	The White Stripes cover
BROCKHAMPTON	Un-thinkable (Im Ready)	Alicia Keys cover
Petit Biscuit	1901	Phoenix cover
A$AP Rocky	(Sittin On) the Dock of the Bay	Otis Redding cover
Lily Allen	deep end	Lykke Li cover
DZ Deathrays	Love Shack	The B-52s cover
Carmouflage Rose	Heartless	Kanye West cover
Kira Puru	Last Friday Night (T.G.I.F)	Katy Perry cover
Eves Karydas	(You Make Me Feel Like) A Natural Woman	Aretha Franklin cover
Press Club	When You Were Young	The Killers cover
Nothing But Thieves	What Can I Do If The Fire Goes Out?	Gang of Youths cover
Superorganism	Congratulations/Congratulations	Post Malone/MGMT cover
Miguel	Porcelain	Red Hot Chili Peppers cover
CHVRCHES	LOVE.	Kendrick Lamar ft. Zacari cover
Tia Gostelow	We Are The People	Empire of the Sun cover
Ziggy Alberts	Juke Jam	Chance the Rapper ft. Justin Bieber & Towkio cover
Slum Sociable	Somebody To Love Me	Mark Ronson & The Business Intl cover
Odette	Magnolia	Gang of Youths cover
B Wise	Under the Bridge	Red Hot Chili Peppers cover
West Thebarton	You Got The Love	The Source ft. Candi Staton cover
Kuren	Unforgettable	French Montana ft. Swae Lee cover
LANKS	NUMB	Hayden James ft. GRAACE cover
Tonight Alive	Affirmation	Savage Garden cover
Ocean Alley	Baby Come Back	Player cover
Grinspoon	Get Out	CHVRCHES cover
Angus & Julia Stone	Passionfruit	Drake cover
Ecca Vandal	Bitch Better Have My Money/Dance Wiv Me/Milkshake	Rihanna/Dizzee Rascal/Kelis cover
Tove Styrke	Loving Is Easy	Rex Orange County ft. Benny Sings cover
Crooked Colours	Suga Suga	Baby Bash ft. Frankie J cover
Alice Ivy	American Boy	Estelle ft. Kanye West cover
GoldLink	Frontin	Pharrell Williams ft. Jay-Z cover
Joyride	Since U Been Gone	Kelly Clarkson cover
Woodes	Lay It On Me	Vance Joy cover
Phoenix	No Woman	Whitney cover
Tiny Little Houses	SOS	ABBA cover
Wolf Alice	Boys (Dont Cry)	Charli XCX/The Cure cover
Wolf Alice	Boys (Dont Cry)	Charli XCX/The Cure cover
Billie Eilish	Bad	Michael Jackson cover
Joey Bada$$	When Thugs Cry	Prince and the Revolution cover
The Kooks	Feel It Still	Portugal. The Man cover
Nilüfer Yanya	Super Rich Kids	Frank Ocean ft. Earl Sweatshirt cover
Tones And I	Forever Young	Alphaville cover
Jarryd James	When the War Is Over	Cold Chisel cover
Mickey Kojak	Parlez Vous Francais?	Art vs Science cover
Bad//Dreems w/Peter Garrett	Blackfella/Whitefella	Warumpi Band cover
Wafia	My My My!	Troye Sivan cover
Northlane	Get Free	The Vines cover
Hermitude	Heart-Shaped Box	Nirvana cover
Dominic Fike	Bags	Clairo cover
Angie McMahon	Knowing Me, Knowing You	ABBA cover
Leikeli47	No Diggity	Blackstreet ft. Dr Dre/Queen Pen cover
Lime Cordiale	I Touch Myself	Divinyls cover
Alex Lahey	Welcome to the Black Parade	My Chemical Romance cover
Japanese Wallpaper	California	Phantom Planet cover
Holy Holy	Green Light	Lorde cover
GRAACE	Complicated	Avril Lavigne cover
Birds Of Tokyo	Without Me	Halsey cover
Ceres	A Thousand Miles	Vanessa Carlton cover
Hein Cooper	The Fear	Lily Allen cover
Little Simz	Feel Good Inc.	Gorillaz cover
Childish Gambino	Lost In You	Chris Gaines cover
K.Flay	Hollaback Girl	Gwen Stefani cover
FIDLAR	xanny	Billie Eilish cover
Thelma Plum	Young Dumb & Broke/Old Town Road	Khalid/Lil Nas X cover
SAFIA	No One Knows	Queens of the Stone Age cover
Dear Seattle	The Special Two	Missy Higgins cover
BROODS	My Old Man	Mac DeMarco cover
LAUREL	Happy Man	Jungle cover
Allday & The Veronicas	Big Yellow Taxi	Joni Mitchell cover
Jack River	Truly Madly Deeply	Savage Garden cover
AURORA	Across The Universe	The Beatles cover
Hilltop Hoods	Cant Stop/In the Air Tonight	Red Hot Chili Peppers/Phil Collins cover
Skegss	Here Comes Your Man	Pixies cover
MØ	3 Nights	Dominic Fike cover
Adrian Eagle	Confidence	Ocean Alley cover
Slowly Slowly	Skinny Love	Bon Iver cover
Nicole Millar	Reborn	KIDS SEE GHOSTS cover
Cosmos Midnight	Sing It Back	Moloko cover
Thandi Phoenix	Glory Box	Portishead cover
Cub Sport	when the partys over	Billie Eilish cover
Pond	Ray of Light	Madonna cover
Flint Eastwood	Want You Back	HAIM cover
Clea	Nothing Breaks Like A Heart	Mark Ronson ft. Miley Cyrus cover
YUNGBLUD & Halsey	I Will Follow You into the Dark	Death Cab for Cutie cover
Denzel Curry	Bulls On Parade	Rage Against The Machine cover
Jorja Smith	Killing Me Softly With His Song	Fugees cover
Ruby Fields	The Unguarded Moment	The Church cover
Parcels	I Will Always Love You	Dolly Parton cover
Kali Uchis	Venus as a Boy	Björk cover
Hockey Dad	I Try	Macy Gray cover
Tame Impala	A Girl Like You	Edwyn Collins cover
Psychedelic Porn Crumpets	I Wanna Be Like You (The Monkey Song)	The Jungle Book cover
Stace Cadet & KLP	Breathe Me	Sia cover
Odette	Thunderstruck	AC/DC cover
Sycco	Embrace	PNAU cover
Polaris	Black Fingernails, Red Wine	Eskimo Joe cover
WAAX	Good Luck	Basement Jaxx cover
Ball Park Music	Paranoid Android	Radiohead cover
CXLOE	Zombie	The Cranberries cover
Jess Kent	Hell N Back	Bakar cover
Vlossom	Fast Car	Tracy Chapman cover
Hands Like Houses	Shimmer	Fuel cover
Azure Ryder	Dont Start Now	Dua Lipa cover
Polish Club	Say So	Doja Cat cover
Alex the Astronaut	Mr. Blue Sky	Electric Light Orchestra cover
Stand Atlantic	Righteous	Juice WRLD cover
Eves Karydas	Painkiller	Ruel cover
Kim Churchill	Dont Know How To Keep Loving You	Julia Jacklin cover
Annie Hamilton	Ubu	Methyl Ethel cover
Becca Hatch	Burn for You	John Farnham cover
Gordi	Wrecking Ball	Miley Cyrus cover
Yours Truly	Dont Look Back in Anger	Oasis cover
E^ST	SLOW DANCING IN THE DARK	Joji cover
Taka Perry	Jesus Walks	Kanye West cover
Maddy Jane	Unwritten	Natasha Bedingfield cover
Hauskey	Mr. Brightside	The Killers cover
ChillinIT	SUGAR	BROCKHAMPTON cover
The Naked And Famous	Blinding Lights	The Weeknd cover
Gengahr	everything i wanted	Billie Eilish cover
G Flip	Lady Marmalade	LaBelle cover
Bugs	Charlie	Mallrat cover
Kota Banks	SICKO MODE	Travis Scott ft. Drake cover
Stella Donnelly	Love Is In The Air	John Paul Young cover
The Vanns	Hey, Ma	Bon Iver cover
BENEE	Mile High	James Blake cover
Fergus James	Soaked	BENEE cover
Jimblah	Whats Going On	Marvin Gaye cover
Milky Chance	Dance Monkey	Tones And I cover
Of Monsters and Men	Circles	Post Malone cover
Cat & Calmell	Maneater	Nelly Furtado cover
Aodhan	Just What I Needed	The Cars cover
Alter Boy	Montero (Call Me by Your Name)	Lil Nas X cover
No Money Enterprise	Mo Money Mo Problems	The Notorious B.I.G. cover
Methyl Ethel	Frontier Psychiatrist/Dribble	The Avalanches/SYCCO cover
Drapht	Robbery	Lime Cordiale cover
Ruel	It Aint Over Til Its Over	Lenny Kravitz cover
Beddy Rays	Better in Blak	Thelma Plum cover
Noah Dillon	The Wire	HAIM cover
Jesswar	Rollin (Air Raid Vehicle)	Limp Bizkit cover
Spacey Jane	Here Comes the Sun	The Beatles
Client Liaison	Groove Is in the Heart	Deee-Lite cover
Telenova	Hung Up	Madonna cover
Wave Racer	Its Not Living (If Its Not With You)	The 1975 cover
Gretta Ray	The Deepest Sighs, the Frankest Shadows	Gang of Youths cover
Vetta Borne	Cool	Gwen Stefani cover
DZ Deathrays	Rock Star	N.E.R.D cover
Milan Ring	Broken Clocks/Love Galore	SZA ft. Travis Scott cover
Tyne-James Organ	Naive	The Kooks cover
Sly Withers	The Scientist	Coldplay cover
Alice Skye	Come On Mess Me Up	Cub Sport cover
Middle Kids	drivers license	Olivia Rodrigo cover
Something For Kate	cardigan	Taylor Swift cover
Lastlings	Love On the Brain	Rihanna cover
Tim Minchin	Exactly How You Are	Ball Park Music cover
Tim Minchin	bad guy	Billie Eilish cover
Hope D	Toxic	Britney Spears cover
Triple One	Time After Time	Cyndi Lauper cover
Mia Rodriguez	Corduroy Dreams	Rex Orange County cover
Ocean Grove	UFO	Sneaky Sound System cover
Didirri	Wake Me up When September Ends	Green Day cover
Alice Ivy	How Bizarre	OMC cover
Dallas Woods	Whats Luv?	Fat Joe ft. Ja-Rule & Ashanti cover
Amy Shark	Sugar, Were Goin Down	Fall Out Boy cover
Ocean Alley	Breathe (In the Air)	Pink Floyd cover
Ocean Alley	Comfortably Numb	Pink Floyd cover
Ocean Alley	Money	Pink Floyd cover
The Wiggles	Elephant	Tame Impala cover
Genesis Owusu	Anarchy in the U.K.	Sex Pistols cover
Hayley Mary	Chemtrails Over The Country Club	Lana Del Rey cover
JK-47	Changes	2Pac cover
Boy & Bear	Dont You (Forget About Me)	Simple Minds cover
Vance Joy	Dont Change	INXS cover
RÜFÜS DU SOL	Something in the Way	Nirvana cover
George Alice	Alive	RÜFÜS DU SOL cover
Flume	Shooting Stars	Bag Raiders cover
Dune Rats & Friends	Am I Ever Gonna See Your Face Again	The Angels cover
Tones And I	Achilles Come Down	Gang of Youths cover
grentperez	Teachers Pet	School of Rock ft. Jack Black cover
Winston Surfshirt	Kiss Me More	Doja Cat cover
Kinder	Say It Right	Nelly Furtado cover
Tove Lo	Dancing On My Own	Robyn cover
merci, mercy	Good News	Mac Miller cover
Montaigne	Lucky	Britney Spears cover
The Terrys	Catch My Disease	Ben Lee cover
Sampa the Great	DNA.	Kendrick Lamar cover
The Lazy Eyes	More Than A Woman	Bee Gees cover
Confidence Man	Heaven	DJ Sammy cover
Arlo Parks	Good Guy	Julia Jacklin cover
In Hearts Wake	all the good girls go to hell	Billie Eilish cover
SOFI TUKKER	Chasing Cars	Snow Patrol cover
Gang of Youths	Why Does It Always Rain On Me?	Travis cover
Glass Animals	Say My Name	Destinys Child cover
Wet Leg	Smoko	The Chats cover
Eliza & The Delusionals	Motion Sickness	Phoebe Bridgers cover
Archie Roach	Redemption Song/One Love/Get Up, Stand Up	Bob Marley & The Wailers cover
King Stingray	Yellow	Coldplay cover
The Wombats	Running Up That Hill (A Deal With God)	Kate Bush cover
Death by Denim	Watermelon Sugar	Harry Styles cover
Miiesha ft. JK-47	Freedom	Beyoncé ft. Kendrick Lamar cover
Great Gable	Fireflies	Owl City cover
Greta Stanley	Everlong	Foo Fighters cover
Pond	Rain	Dragon cover
JOY.	Kiss Me Thru The Phone	Soulja Boy cover
Wolf Alice	Sense	King Gizzard & The Lizard Wizard cover
Mansionair	Still Dont Know My Name	Labrinth cover
Baker Boy	Song 2	Blur cover
Thornhill	Supermassive Black Hole	Muse cover
BENEE	God is a woman	Ariana Grande cover
1300	Gangnam Style	PSY cover
A.GIRL	Higher Ground	Stevie Wonder cover
Nick Ward	Adams Song	blink-182 cover
Camp Cope	Seventeen Going Under	Sam Fender cover
SLUMBERJACK	In For The Kill	La Roux cover
Holy Holy	Sunflower	Post Malone & Swae Lee cover
Dave Winnel	Africa	Toto cover
Vera Blue	Stay	The Kid LAROI cover
The Jungle Giants	One Kiss	Calvin Harris & Dua Lipa cover
Kimbra	BREAK MY SOUL	Beyoncé cover
Joey Bada$$	UMI Says	Mos Def cover
Teenage Dads	Video Killed The Radio Star	The Buggles cover
Mia Wray	Silk Chiffon	MUNA cover
Slowly Slowly	I Miss You	blink-182 cover
The Smith Street Band	Hand In My Pocket	Alanis Morissette cover
Maisie Peters	Basket Case	Green Day cover
Peking Duk	Fall At Your Feet Ft. Julia Stone	Crowded House cover
Luca Brasi	Iris Ft. Eaglemont	Goo Goo Dolls cover
MUNA	My Heart Will Go On	Céline Dion cover
Meg Mac	No Time To Die	Billie Eilish cover
d4vd	Set Fire to the Rain	Adele cover
These New South Whales	Tubthumping	Chumbawamba cover
Matt Corby	No Scrubs	TLC cover
bbno$	Im Too Sexy	Right Said Fred cover
Peach PRC	Everytime We Touch	Cascada cover
Nothing But Thieves	Flowers	Miley Cyrus cover
Kita Alexander	Stacys Mom	Fountains of Wayne cover
Circa Waves	Angels	Robbie Williams cover
Ziggy Ramo ft. Christine Anu	Doo Wop (That Thing)	Lauryn Hill cover
Eliott	Glimpse of Us	Joji cover
